PLU,UoM,Description,Chinese Descp,Toledo Number
216,LB,RED YAM,紅心地瓜,
218,LB,BUTTERNUT SQUASH,白脫瓜,
221,LB,BANANA SQUASH,香蕉升瓜,55221
285,LB,GREEN MANGO,綠芒果,55285
334,LB,PEANUT,花生,
361,LB,BROCCOLI CROWN,無莖洋芥蘭,
9361,EA,ORGANIC BROCCOLI,有機無莖洋芥蘭,
363,LB,WHITE YAM (SWEET POTATO),白心地瓜,
371,LB,BABY BOK CHOY MUI,青江菜苗,
372,LB,YU CHOY MUI,油菜苗,
373,LB,SMALL BOK CHOY MUI,矮腳白菜苗,
378,LB,GAI LAN MUI,芥蘭苗,
379,LB,LONG BOK CHOY MUI,長腳白菜苗,
386,LB,SWEET CHILI,韓國辣椒,55386
389,LB,BABY CABBAGE (WA WA CHOY),娃娃菜,
392,LB,ACORN SQUASH,橡樹果,
401,LB,ARROWHEAD,慈菇,55401
402,EA,ARTICHOKE,洋薊,
403,LB,ASPARAGUS,蘆筍,55403
404,LB,LETTUCE STEM,萵筍,
407,LB,SMALL BOK CHOY SUM,矮腳白菜心,
408,LB,BIG BOK CHOY,廣東白菜,
409,LB,TAIWAN BOK CHOY,台灣白菜,
410,LB,BABY BOK CHOY,青江菜,
411,LB,LONG BOK CHOY,長腳白菜,
412,EA,BABY DILL,茴香草,
416,LB,BITTER MELON,苦瓜,55416
417,LB,GREEN BEAN,四季豆,
418,LB,LONG BEAN,長豆角,
425,EA,KALE,無頭甘藍菜,
426,EA,MUSTARD GREEN,芥菜,
427,EA,SWISS CHARD,君達菜,
428,LB,CURRY LEAF,咖哩葉,55428
449,LB,MEXICAN SQUASH,墨西哥瓜,
471,LB,TAIWAN SPINACH,台灣菠菜,
474,LB,FRESH BABY CORN,玉米筍,
475,LB,BAILING MUSHROOM,白靈菇,55475
484,LB,ROMANO BEANS,刀豆,
495,LB,ALOVERA LEAVES,蘆薈,
531,LB,NAGAIMO (CHINA),山藥(中國),
533,LB,CHINESE CAULIFLOWER,台山花椰菜,
545,LB,LONG HOT PEPPER,,55545
547,LB,GREY SQUASH,,
549,LB,TWIST PEPPER,,55549
553,LB,TURMERIC,,55553
559,LB,RED SPINACH MUI,紅莧菜苗,
563,LB,SHANGHAI SUM,上海菜芯,
564,LB,NAYO SUM,奶油菜芯,
574,LB,SMALL GAI CHOY WITH ROOT,帶根小芥菜,
580,LB,FRESH SUNCHOKE,新鮮土伏靈,55580
581,LB,GAILAN SUM,芥藍心,
594,LB,IRON NAGAIMO (CHINA),鐵棍山藥,
597,LB,TAKU CHOY MUI,塔咕菜苗,
600,LB,CHINESE LO BOK,中國蘿蔔,
601,EA,COLLARD GREEN,,
604,LB,FRESH PEANUT,新鮮花生,
605,LB,GOBO,牛蒡,55605
606,EA,ITALIAN PARSLEY,,
608,LB,PARSNIP,,
609,LB,RUTABAGAS,,
610,EA,SWEET ANISE,茴香,55610
613,EA,MUSTARD CHINA,,
